Cluster ID,sponsor_SPONSOR_CODE,sponsor_SPONSOR_NAME,sponsor_STATE,sponsor_POSTAL_CODE,sponsor_COUNTRY_CODE,rolodex_STATE,rolodex_POSTAL_CODE,rolodex_COUNTRY_CODE,rolodex_ADDRESS_LINE_1,rolodex_ADDRESS_LINE_2,rolodex_ADDRESS_LINE_3,rolodex_CITY,sponsor_DUN_AND_BRADSTREET_NUMBER
293,000000,University of Strathclyde,,G1 1QE,GBR,,G1 1QE,GBR,Research and Knowledge Exchange,50 George Street,,Glasgow,
294,000001,DHHS-US Department of Health and Human Services,MD,20857,USA,MD,20857-0002,USA,5600 Fishers Lane,,,Rockville,
0,000002,NIH-National Institutes of Health,MD,20892,USA,MD,20816-0000,USA,5333 Westbard Avenue,,,Bethesda,
1,000003,NIH-National Institute on Aging,MD,20892,USA,MD,20892-0001,USA,Building 31 Room B1B05A,9000 Rockville Pike,,Bethesda,
295,000004,NIH-National Institute of Allergy and Infectious Diseases,MD,20892-7614,USA,MD,20892-7614,USA,6700B Rockledge Drive,MSC-7614,,Bethesda,
1,000005,NIH-National Institute of Arthritis & Musculoskeletal & Skin Diseases,MD,20892,USA,MD,20892-0001,USA,Building 31 Room B1B05A,9000 Rockville Pike,,Bethesda,
1,000006,NIH-National Cancer Institute,MD,20892,USA,MD,20892-0001,USA,Building 31 Room B1B05A,9000 Rockville Pike,,Bethesda,
1,000007,NIH-National Institute of Child Health and Human Development,MD,20892,USA,MD,20892-0001,USA,Building 31 Room B1B05A,9000 Rockville Pike,,Bethesda,
296,000008,National Institute of Dental Research - USE # 000021,MD,20892,USA,MD,20892-0000,USA,Westwood Building  Room 503,,,Bethesda,
1,000009,NIH-National Institute of Environmental Health Sciences,MD,20892,USA,MD,20892-0001,USA,Building 31 Room B1B05A,9000 Rockville Pike,,Bethesda,
297,000010,NIH-National Eye Institute,MD,20892,USA,MD,20892-0000,USA,EPS Building  Room 350,,,Bethesda,
1,000011,NIH-National Institute of General Medical Sciences,MD,20892,USA,MD,20892-0001,USA,Building 31 Room B1B05A,9000 Rockville Pike,,Bethesda,
298,000012,"NIH-National Heart, Lung, and Blood Institute",MD,20892,USA,MD,20892-0001,USA,Building 31 Room B1B05A,9000 Rockville Pike,,Bethesda,
299,000013,NIH-National Institute of Neurological Disorders & Stroke,MD,20892-9537,USA,MD,20892-9537,USA,6001 Executive Blvd,"Suite 3290, MSC 9537",,Bethesda,
300,000014,NIH-National Center for Research Resources,MD,20892,USA,MD,20892-1814,USA,6705 Rockledge Drive MSC 7965,,,Bethesda,
301,000015,NIH-National Library of Medicine,MD,20892,USA,MD,20816-0000,USA,5333 Westbard Avenue,,,Bethesda,
302,000016,NIH-Fogarty International Center,MD,20892-2220,USA,MD,20892-2220,USA,"Building 31, Room B2C29",31 Center Drive,,Bethesda,
303,000017,NIH-National Institute on Deafness and Other Communicative Disorders,MD,20892,USA,MD,20892-0000,USA,FED Building  Room 1C-11,,,Bethesda,
304,000018,NIH-National Human Genome Research Institute,MD,20892,USA,MD,20892-0000,USA,Building 38A,,,Bethesda,
305,000019,NIH-National Institute of Diabetes & Digestive & Kidney Diseases,MD,20892-5456,USA,MD,20892-5456,USA,"6707 Democracy Boulevard, Room  726",,,Bethesda,
306,000020,NIH-National Institute of Nursing Research,MD,20894,USA,MD,20894-0000,USA,Building 38A,,,Bethesda,
307,000021,NIH-National Institute of Dental & Craniofacial Research,MD,20892,USA,MD,20892-0000,USA,45 Center Drive/Room 4AN-44,,,Bethesda,
0,000022,NIH-National Institute on Alcohol Abuse and Alcoholism,MD,20205,USA,MD,20816-0000,USA,5333 Westbard Avenue,,,Bethesda,
1,000023,NIH-National Institute on Drug Abuse,MD,20892,USA,MD,20892-0001,USA,Building 31 Room B1B05A,9000 Rockville Pike,,Bethesda,
308,000024,NIH-National Institute of Mental Health,MD,20857,USA,MD,20857-0000,USA,Parklawn Building  Room 9-105,,,Rockville,
309,000025,NIH-National Center for Complementary and Integrative Health,MD,20892,USA,MD,20892-0001,USA,Building 31  Room 5B-36,,,Bethesda,
310,000026,NIH-National Institute on Minority Health & Health Disparities,MD,20892-5465,USA,MD,20892-5465,USA,"6707 Democracy Boulevard, Suite 800",,,Bethesda,
311,000027,NIH-National Institute of Biomedical Imaging & Bioengineering,MD,20892,USA,MD,20892-0000,USA,31 Center Drive/Room 1B37,,,Bethesda,
